id,en,ru
building_new.floor_0.toilet_0,0,0
building_new.floor_0.toilet_1,1,1
building_new.floor_0.room_036_r,036,036
building_new.floor_0.room_033_r,033,033
building_new.floor_0.room_032_r,032,032
building_new.floor_0.toilet_2,2,2
building_new.floor_0.stair_0,0,0
building_new.floor_0.room_011_r,011,011
building_new.floor_0.room_020_r,020,020
building_new.floor_0.room_022_r,022,022
building_new.floor_0.room_021_r,021,021
building_new.floor_0.room_025_r,025,025
building_new.floor_0.room_027_r,027,027
building_new.floor_0.room_029_r,029,029
building_new.floor_0.elevator_0,0,0
building_new.floor_0.elevator_1,1,1
building_new.floor_0.room_030_r,030,030
building_new.floor_0.room_0115_n,0115,0115
building_new.floor_0.room_0116_n,0116,0116
building_new.floor_0.room_0114_n,0114,0114
building_new.floor_0.room_0113_n,0113,0113
building_new.floor_0.room_0117_n,0117,0117
building_new.floor_0.room_0118_n,0118,0118
building_new.floor_0.room_0119_n,0119,0119
building_new.floor_0.room_0111_n,0111,0111
building_new.floor_0.room_0122_n,0122,0122
